"Date: 02/12/2019 01h08"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Chocolat crémant 55 % amarru 100g","3.40 CHF/100 grammes",1.00,3.40
"Epicerie Bio Bois-Genoud","Clémentines demeter","0.60 CHF/100 grammes",22.00,13.20
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",13.00,9.10
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.80 CHF/100g",2.00,3.60
"Epicerie Bio Bois-Genoud","Müsli classique","1.20 CHF/100g",4.00,4.80
"Epicerie Bio Bois-Genoud","Müsli croquant","1.50 CHF/100g",8.00,12.00
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",4.00,4.40
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",24.00,14.40
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",6.00,5.40
"Ferme Bio Les Sapins",Poires,"4.60 CHF/1kg",2.00,9.20
"Ferme Bio Les Sapins",Pommes,"4.50 CHF/1kg",3.00,13.50
"Ferme Bois genoud",Ail,"1.60 CHF/100g",1.00,1.60
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",4.00,1.40
"Ferme Bois genoud","Carottes bio","0.30 CHF/100 grammes",26.00,7.80
"Ferme Bois genoud","Chou  blanc","0.35 CHF/100 g",16.00,5.60
"Ferme Bois genoud","Chou chinois","0.40 CHF/100 grammes",5.00,2.10
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",4.00,2.80
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",1.00,3.50
"Ferme Bois genoud","Farine mi-blanche de blé","20.00 CHF/5kg",1.00,20.00
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",4.00,1.70
"Ferme Bois genoud",Poireaux,"0.50 CHF/100 gammes",16.00,8.30
"Ferme Bois genoud","Pomme de terre Charlotte (ferme)","1.20 CHF/500 grammes",1.00,1.20
"Ferme Bois genoud","Pommes de terre (bleu de St. Gall)","1.20 CHF/300 g",2.00,2.40
"Ferme Bois genoud",Rutabaga,"0.35 CHF/100 grammes",10.00,3.50
"Ferme St-Barthélémy","Pain complet Bio bourgeon 400g (moulé)","2.65 CHF/Pièce",1.00,2.65
"Ferme St-Barthélémy","Pain mi-complet Bio bourgeon 500g (long)","3.10 CHF/Pièce",1.00,3.10
"Ferme St-Barthélémy","Pain à l'avoine Bio bourgeon 250g (long)","1.90 CHF/Pièce",1.00,1.90
"Ferme St-Barthélémy","Pain: torsadé aux graines Bio bourgeon 500g","3.35 CHF/Pièce",2.00,6.70
"Ferme St-Barthélémy","Pâte feuilletée Bio bourgeon 500g","6.25 CHF/Pièce",1.00,6.25
"Ferme St-Barthélémy","Pâte à pizza Bio bourgeon 500g","3.10 CHF/Pièce",2.00,6.20
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",9.00,11.70
"Ferme de Coinsins","Lentilles Beluga (noire)","1.30 CHF/100g",3.00,3.90
